"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 02 09:15:44 CST 2020","Wed Dec 02 09:15:46 CST 2020","2312","TestCase_001_ysy","test_ysy_005_home","TestYsy005Home","","","test_home_006_get_Weather_Info[case1]","
            用例描述：首页--获取天气信息
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_004_get_Member_Order[case0]","
            用例描述：获取成员拖动顺序
        "
"passed","Wed Dec 02 09:16:33 CST 2020","Wed Dec 02 09:16:37 CST 2020","3806","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_003_cur_Repair_List[case2]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:20:36 CST 2020","Wed Dec 02 09:20:38 CST 2020","2635","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_005_get_Property_Info[case2]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:18:56 CST 2020","Wed Dec 02 09:18:59 CST 2020","2616","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_login_003_user_info[case1]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:16:14 CST 2020","Wed Dec 02 09:16:16 CST 2020","2575","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_002_repair_publish[case1]","
            用例描述：报修历史记录
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_004_health","TestYsy004Health","","","test_invitation_001_addMenberStep[case0]","
            用例描述：添加成员步数，该用例数据源来自excel
        "
"passed","Wed Dec 02 09:14:03 CST 2020","Wed Dec 02 09:14:06 CST 2020","3500","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_009_update_Bind[case3]","
            用例描述：设置默认房屋
            设置之后test_ysy_002_invitation即将使用绑定了道闸设备的小区
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_009_update_Bind[case0]","
            用例描述：设置默认房屋
            设置之后test_ysy_002_invitation即将使用绑定了道闸设备的小区
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_002_log_in[case0]","
            用例描述：验证码登录
        "
"passed","Wed Dec 02 09:21:21 CST 2020","Wed Dec 02 09:21:26 CST 2020","5489","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case2]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:13:07 CST 2020","Wed Dec 02 09:13:10 CST 2020","2609","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_001_get_verifycode[case2]","
            用例描述：获取验证码
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_001_receive_setting[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:22:28 CST 2020","Wed Dec 02 09:22:31 CST 2020","2990","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_012_public_AreaRepair_publish[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:20:17 CST 2020","Wed Dec 02 09:20:19 CST 2020","2304","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_sign_find_employees_sign[case1]","
            用例描述:根据员工Id获取当天最近一次签到记录
        "
"passed","Wed Dec 02 09:21:26 CST 2020","Wed Dec 02 09:21:29 CST 2020","3312","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_009_get_Repair_List_1[case3]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:16:40 CST 2020","Wed Dec 02 09:16:45 CST 2020","4944","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_003_cur_Repair_List[case4]","
            用例描述：报修历史记录
        "
"passed","Wed Dec 02 09:18:45 CST 2020","Wed Dec 02 09:18:49 CST 2020","3785","TestCase_002_yhz_old_regitster","test_yhz_001_login","TestYhz001Login","","","test_login_002_log_in[case1]","
            用例描述：验证码登录
        "
"passed","Thu Nov 26 14:01:27 CST 2020","Thu Nov 26 14:01:30 CST 2020","3308","TestCase_001_ysy","test_ysy_010_home_door","TestYsy010HomeDoor","","","test_ome_door_001_get_Face_List[case0]","
            用例描述：首页--今日推荐
        "
"passed","Wed Dec 02 09:20:06 CST 2020","Wed Dec 02 09:20:12 CST 2020","6256","TestCase_004_ysy_property","test_ysy_pro_002_home","TestYsyPro002Home","","","test_ysy_pro_003_epidemic_Info[case1]","
            用例描述：物业app密码登录
        "
"skipped","Wed Dec 02 09:30:52 CST 2020","Wed Dec 02 09:30:52 CST 2020","0","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_011_qiniu_token[case0]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:19:40 CST 2020","Wed Dec 02 09:19:43 CST 2020","2296","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_002_myself[case2]","
            用例描述:我的--我的个人资料
        "
"passed","Wed Dec 02 09:19:29 CST 2020","Wed Dec 02 09:19:32 CST 2020","2755","TestCase_004_ysy_property","test_ysy_pro_001_login","TestYsyPro001Login","","","test_ysy_pro_001_user_login[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:13:28 CST 2020","Wed Dec 02 09:13:30 CST 2020","2328","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_003_get_User_Privacy_Policy[case1]","
            用例描述：用户隐私协议
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_001_login","TestYsy001Login","","","test_login_011_versionInfo_ios[case0]","
            用例描述：设置默认房屋
            设置之后test_ysy_002_invitation即将使用绑定了道闸设备的小区
        "
"skipped","Wed Dec 02 09:30:17 CST 2020","Wed Dec 02 09:30:17 CST 2020","0","TestCase_001_ysy","test_ysy_003_biotope_serve","TestYsy003BiotopeServe","","","test_biotope_serve_003_phone_biotopeId[case0]","
            用例描述：物业管家--电话
        "
"passed","Wed Dec 02 09:22:03 CST 2020","Wed Dec 02 09:22:05 CST 2020","2720","TestCase_004_ysy_property","test_ysy_pro_003_my_task","TestYsyPro002MyTask","","","test_ysy_pro_010_get_Repair_List[case1]","
            用例描述：物业app密码登录
        "
"passed","Wed Dec 02 09:16:16 CST 2020","Wed Dec 02 09:16:20 CST 2020","3568","TestCase_001_ysy","test_ysy_008_repair","TestYsy007Myself","","","test_repair_002_repair_publish[case2]","
            用例描述：报修历史记录
        "
